10N Sodium Hydroxide (NaOH 40%),GHS05 Corrosion,Water distilled water deionized water,Immediately remove any clothing soiled by the product.,Use fire fighting measures that suit the environment,Wear protective equipment. Keep unprotected persons away,Ensure good ventilation/exhaustion at the workplace,The usual precautionary measures for handling chemicals should be followed,Form Liquid Color Colorless Odor Odorless,Reactivity No further relevant information available,On the skin Strong caustic effect on skin and mucous membranes.,Do not allow undiluted product or product that has not been neutralized to reach water.,Must not be disposed of together with household garbage.,Corrosive liquid basic inorganic n.o.s. (Sodium Hydroxide),TSCA (Toxic Substances Control Act),None
Anionic Anti-Sludge Agent,H225 - Highly flammable liquid and vapor,Substance,Never give anything by mouth to an unconscious person. If you feel unwell seek medical advice,Dry chemical powder alcohol-resistant foam carbon dioxide (CO2). Water may be ineffective but water should be used to keep fire-exposed container cool.,Do not get in eyes on skin or on clothing. Do not breathe vapor mist or spray., Handle empty containers with care because residual vapors are flammable,Emergency eye wash fountains and safety showers should be available,Liquid,Reacts violently with strong oxidizers,Not classified,Not classified.,Dispose of contents/container in accordance with local regional national and international regulations,FLAMMABLE LIQUIDS CORROSIVE,Fire hazard Immediate (acute) health hazard,None
10N Sodium Hydroxide (NaOH 40%),GHS05 Corrosion,Water distilled water deionized water,Immediately remove any clothing soiled by the product.,Use fire fighting measures that suit the environment,Wear protective equipment. Keep unprotected persons away,Ensure good ventilation/exhaustion at the workplace,The usual precautionary measures for handling chemicals should be followed,Form Liquid Color Colorless Odor Odorless,Reactivity No further relevant information available,On the skin Strong caustic effect on skin and mucous membranes.,Do not allow undiluted product or product that has not been neutralized to reach water.,Must not be disposed of together with household garbage.,Corrosive liquid basic inorganic n.o.s. (Sodium Hydroxide),TSCA (Toxic Substances Control Act),None
Anionic Anti-Sludge Agent,H225 - Highly flammable liquid and vapor,Substance,Never give anything by mouth to an unconscious person. If you feel unwell seek medical advice,Dry chemical powder alcohol-resistant foam carbon dioxide (CO2). Water may be ineffective but water should be used to keep fire-exposed container cool.,Do not get in eyes on skin or on clothing. Do not breathe vapor mist or spray., Handle empty containers with care because residual vapors are flammable,Emergency eye wash fountains and safety showers should be available,Liquid,Reacts violently with strong oxidizers,Not classified,Not classified.,Dispose of contents/container in accordance with local regional national and international regulations,FLAMMABLE LIQUIDS CORROSIVE,Fire hazard Immediate (acute) health hazard,None
10N Sodium Hydroxide (NaOH 40%),GHS05 Corrosion,Water distilled water deionized water,Immediately remove any clothing soiled by the product.,Use fire fighting measures that suit the environment,Wear protective equipment. Keep unprotected persons away,Ensure good ventilation/exhaustion at the workplace,The usual precautionary measures for handling chemicals should be followed,Form Liquid Color Colorless Odor Odorless,Reactivity No further relevant information available,On the skin Strong caustic effect on skin and mucous membranes.,Do not allow undiluted product or product that has not been neutralized to reach water.,Must not be disposed of together with household garbage.,Corrosive liquid basic inorganic n.o.s. (Sodium Hydroxide),TSCA (Toxic Substances Control Act),None
Anionic Anti-Sludge Agent,H225 - Highly flammable liquid and vapor,Substance,Never give anything by mouth to an unconscious person. If you feel unwell seek medical advice,Dry chemical powder alcohol-resistant foam carbon dioxide (CO2). Water may be ineffective but water should be used to keep fire-exposed container cool.,Do not get in eyes on skin or on clothing. Do not breathe vapor mist or spray., Handle empty containers with care because residual vapors are flammable,Emergency eye wash fountains and safety showers should be available,Liquid,Reacts violently with strong oxidizers,Not classified,Not classified.,Dispose of contents/container in accordance with local regional national and international regulations,FLAMMABLE LIQUIDS CORROSIVE,Fire hazard Immediate (acute) health hazard,None
10N Sodium Hydroxide (NaOH 40%),GHS05 Corrosion,Water distilled water deionized water,Immediately remove any clothing soiled by the product.,Use fire fighting measures that suit the environment,Wear protective equipment. Keep unprotected persons away,Ensure good ventilation/exhaustion at the workplace,The usual precautionary measures for handling chemicals should be followed,Form Liquid Color Colorless Odor Odorless,Reactivity No further relevant information available,On the skin Strong caustic effect on skin and mucous membranes.,Do not allow undiluted product or product that has not been neutralized to reach water.,Must not be disposed of together with household garbage.,Corrosive liquid basic inorganic n.o.s. (Sodium Hydroxide),TSCA (Toxic Substances Control Act),None
Anionic Anti-Sludge Agent,H225 - Highly flammable liquid and vapor,Substance,Never give anything by mouth to an unconscious person. If you feel unwell seek medical advice,Dry chemical powder alcohol-resistant foam carbon dioxide (CO2). Water may be ineffective but water should be used to keep fire-exposed container cool.,Do not get in eyes on skin or on clothing. Do not breathe vapor mist or spray., Handle empty containers with care because residual vapors are flammable,Emergency eye wash fountains and safety showers should be available,Liquid,Reacts violently with strong oxidizers,Not classified,Not classified.,Dispose of contents/container in accordance with local regional national and international regulations,FLAMMABLE LIQUIDS CORROSIVE,Fire hazard Immediate (acute) health hazard,None
10N Sodium Hydroxide (NaOH 40%),GHS05 Corrosion,Water distilled water deionized water,Immediately remove any clothing soiled by the product.,Use fire fighting measures that suit the environment,Wear protective equipment. Keep unprotected persons away,Ensure good ventilation/exhaustion at the workplace,The usual precautionary measures for handling chemicals should be followed,Form Liquid Color Colorless Odor Odorless,Reactivity No further relevant information available,On the skin Strong caustic effect on skin and mucous membranes.,Do not allow undiluted product or product that has not been neutralized to reach water.,Must not be disposed of together with household garbage.,Corrosive liquid basic inorganic n.o.s. (Sodium Hydroxide),TSCA (Toxic Substances Control Act),None
Anionic Anti-Sludge Agent,H225 - Highly flammable liquid and vapor,Substance,Never give anything by mouth to an unconscious person. If you feel unwell seek medical advice,Dry chemical powder alcohol-resistant foam carbon dioxide (CO2). Water may be ineffective but water should be used to keep fire-exposed container cool.,Do not get in eyes on skin or on clothing. Do not breathe vapor mist or spray., Handle empty containers with care because residual vapors are flammable,Emergency eye wash fountains and safety showers should be available,Liquid,Reacts violently with strong oxidizers,Not classified,Not classified.,Dispose of contents/container in accordance with local regional national and international regulations,FLAMMABLE LIQUIDS CORROSIVE,Fire hazard Immediate (acute) health hazard,None
